iter	Passed	Remaining
0	1296	1294782
1	2190	109320522	3070	1020293	3	3905	972554	4	4750	945445	5	5563	921646	6	6331	898177	7	7061	875618	8	7815	860539	9	8643	855741010	9526	856531111	10357	852712	12	11114	843842
13	11539	812714	14	12329	809615	15	13122	807016	16	13697	792017	17	14461	788918	18	15275	788719	19	16088	788320	20	16951	790221	21	17654	784822	22	18383	780823	23	19146	778624	24	19932	777325	25	20697	775326	26	21228	764927	27	21907	760528	28	22751	761729	29	23510	760130	30	24306	759731	31	25084	758832	32	25819	756533	33	26606	755934	34	27328	753435	35	28029	750536	36	28814	749937	37	29446	745438	38	30212	744439	39	31015	744340	40	31801	743841	41	32596	743542	42	33415	743643	43	34262	744444	44	34710	736645	45	35578	737846	46	36414	738347	47	37177	737348	48	37859	734749	49	38711	735550	39372	732645
51	51	40214	733152	52	41102	734453	53	42092	737454	54	42872	736655	55	43757	737656	56	44554	737157	57	45422	737758	58	46225	737259	59	47054	737160	60	47855	736661	61	48546	734462	62	49408	734863	50430	737546
64	51623	742585
65	65	52710	745966	53676	747460
67	54651	749053
68	55448	748151
69	56271	747608
70	57116	747347
71	57950	746916
72	58821	746953
73	59746	747636
74	74	60449	745575	61228	744408
76	76	61985	743077	77	62794	742278	78	63568	741179	79	64320	739680	80	65055	738181	81	65803	736682	82	66582	735683	83	67382	734784	84	68310	735385	68956	732865
86	69763	732114
87	70522	730868
88	71329	730123
89	72103	729050
90	72793	727130
91	73492	725339
92	74240	724040
93	75015	723021
94	75745	721576
95	76444	719853
96	77150	718219
97	97	77814	716298	78684	716106
99	79440	714965
100	80260	714399
101	81116	714145
102	81925	713469
103	82615	711761
104	83361	710554
105	84067	709026
106	84807	707781
107	85583	706857
108108	86220	7047109109	86929	7033110	87836	703486
111111	88646	7028112112	89366	7014113	90165	700759
114	90992	700249
115	91847	699941
116116	92397	6973117117	93151	6962118118	93890	6951119119	94637	6940120120	95318	6924121121	96014	6909122122	96689	6894123123	97459	6885124124	98180	6872125	98940	686300
126	99735	685584
